"Dataset","Verdict","NND","Bias_Delta_Sens","Bias_Flag","Action","Sens","Spec"
"Cochrane_CD011984","ROBUST",2,0,"None","ROBUST",0.554,0.95
"Cochrane_CD012165","CONDITIONAL",2,0,"None","RESEARCH PRIORITY",0.774,0.719
"Cochrane_CD012179","ROBUST",2.4,0,"None","ROBUST",0.649,0.767
"Cochrane_CD012281","ROBUST",1.5,0,"None","ROBUST",0.775,0.892
"COVID_AntigenTests_Cochrane2021","ROBUST",1.3,0,"None","ROBUST",0.794,0.973
"CT_Colonography_Whiting2011","CONDITIONAL",1.5,0,"None","RESEARCH PRIORITY",0.82,0.843
"Dementia_data","ROBUST",1.5,0,"None","ROBUST",0.783,0.874
"Depression_Screening_Gilbody2008","ROBUST",1.4,0,"None","ROBUST",0.831,0.861
"FENO_Asthma_Schneider2017","ROBUST",2.7,0,"None","ROBUST",0.604,0.769
"IAQ_data","ROBUST",1.1,0,"None","ROBUST",0.949,0.924
"IQCODE_Dementia_MetaDTA","ROBUST",1.8,0,"None","ROBUST",0.871,0.684
"Procalcitonin_Sepsis_Wacker2013","ROBUST",1.7,0,"None","ROBUST",0.822,0.763
"SAQ_data","ROBUST",1.3,0,"None","ROBUST",0.874,0.913
"SkinTests_data","CONDITIONAL",3.1,0,"None","RESEARCH PRIORITY",0.359,0.964
"Smoking_data","ROBUST",1.2,0,"None","ROBUST",0.917,0.917
