"Dataset","Verdict","GRADE","Sens","Spec","Integrity_IAI"
"AuditC_data","ROBUST","Moderate",0.89,0.691,0.973
"Cochrane_CD007394","ROBUST","Moderate",0.598,0.873,0.993
"Cochrane_CD008081","CONDITIONAL","Low",0.818,0.824,0.955
"Cochrane_CD008686","CONDITIONAL","Low",0.373,0.828,0.988
"Cochrane_CD008782","CONDITIONAL","Low",0.786,0.618,0.985
"Cochrane_CD009020","DEFINITIVE","High",0.879,0.872,0.981
"Cochrane_CD009185","CONDITIONAL","Low",0.762,0.537,0.992
"Cochrane_CD009372","ROBUST","Moderate",0.952,0.985,0.726
"Cochrane_CD009519","ROBUST","Moderate",0.734,0.871,0.991
"Cochrane_CD009551","CONDITIONAL","Low",0.675,0.802,0.988
"Cochrane_CD009944","CONDITIONAL","Low",0.842,0.774,0.998
"Cochrane_CD010023","ROBUST","Moderate",0.887,0.9,0.732
"Cochrane_CD010173","DEFINITIVE","High",0.897,0.982,0.969
"Cochrane_CD010339","DEFINITIVE","High",0.874,0.981,0.752
"Cochrane_CD010438","CONDITIONAL","Low",0.922,0.829,0.623
"Cochrane_CD010633","CONDITIONAL","Low",0.919,0.863,0.355
"Cochrane_CD010771","DEFINITIVE","High",0.902,0.885,0.943
"Cochrane_CD010775","ROBUST","Moderate",0.969,0.528,0.95
"Cochrane_CD010783","CONDITIONAL","Low",0.527,0.783,0.971
"Cochrane_CD010860","DEFINITIVE","High",0.936,0.887,0.9
"Cochrane_CD011515","FRAGILE","Very Low",0.854,0.781,0.287
"Cochrane_CD011548","ROBUST","Moderate",0.63,0.916,0.96
"Cochrane_CD011549","DEFINITIVE","High",0.94,0.959,0.981
"COVID_AntigenTests_Cochrane2021","ROBUST","Moderate",0.803,0.978,0.981
"CT_Colonography_Whiting2011","CONDITIONAL","Low",0.846,0.846,0.783
"DDimer_PE_Crawford2020","CONDITIONAL","Low",0.953,0.788,0.983
"Dementia_data","ROBUST","Moderate",0.794,0.863,0.988
"Depression_Screening_Gilbody2008","DEFINITIVE","High",0.85,0.865,0.971
"DVT_Ultrasound_Goodacre2005","ROBUST","Moderate",0.929,0.971,0.975
"HSTroponin_MI_Body2014","CONDITIONAL","Low",0.911,0.729,0.976
"IAQ_data","DEFINITIVE","High",0.935,0.95,0.981
"IQCODE_Dementia_MetaDTA","ROBUST","Moderate",0.888,0.689,0.971
"MRI_Prostate_Futterer2015","FRAGILE","Very Low",0.849,0.824,0.975
"POCUS_Shock_Yoshida2023","ROBUST","Moderate",0.95,0.944,0.84
"Procalcitonin_Sepsis_Wacker2013","CONDITIONAL","Low",0.835,0.756,0.979
"SAQ_data","DEFINITIVE","High",0.886,0.905,0.988
"SkinTests_data","ROBUST","Moderate",0.221,0.956,0.964
"Smoking_data","DEFINITIVE","High",0.917,0.93,0.992
"TB_SmearMicroscopy_Steingart2006","CONDITIONAL","Low",0.757,0.985,0.981
"XpertMTB_RIF_Tuberculosis2014","ROBUST","Moderate",0.858,0.978,0.978
